Código UF;Unidade da Federação;Área (Km2)
11;Rondônia;237.765,293
12;Acre;164.123,737
13;Amazonas;1.559.146,876
14;Roraima;224.300,805
15;Pará;1.247.955,238
16;Amapá;142.828,521
17;Tocantins;277.720,412
21;Maranhão;331.936,949
22;Piauí;251.611,929
23;Ceará;148.887,633
24;Rio Grande do Norte;52.811,107
25;Paraíba;56.468,435
26;Pernambuco;98.076,021
27;Alagoas;27.848,140
28;Sergipe;21.918,443
29;Bahia;564.732,450
31;Minas Gerais;586.520,732
32;Espírito Santo;46.086,907
33;Rio de Janeiro;43.781,588
35;São Paulo;248.219,627
41;Paraná;199.307,939
42;Santa Catarina;95.737,954
43;Rio Grande do Sul;281.737,888
50;Mato Grosso do Sul;357.145,531
51;Mato Grosso;903.202,446
52;Goiás;340.106,492
53;Distrito Federal;5.779,997
